fødevare,energi (kJ/100g),energi/portion,protein/100g
kartofler,322,700,2
rugbrød,900,250,6.4
havregryn,1528,900,11.7
majs,354,115,2.8
mælk,267,178,3.4
kaffe m. mælk,267,178,3.4
kikærter,491,491,6.8
mayonnaise,1522,67,0.7
makrel,656,410,14
cremefraiche,785,490,3.1
ris,1477,1340,6.8
rosiner,1433,200,1
tun,552,552,28
banan,372,558,1.1
appelsin,197,300,0.9
gulerod,173,250,0.9
agurk,67,200,0.7
vindruer,288,576,0.7
kyllingbryst,749,1123,31
svinekød,1100,1600,25.7
is,1250,3000,3.5
BBQ sauce,772,378,1.6
æg,586,586,12.6
avocado,671,671,2
Cultura yoghurt,285,570,4.2
appelsinjuice,162,310,0.7
hvedemel,1450,1450,10 
spaghetti,1480,1480,10
valnødder,2740,600,15.2
Cocio,197,480,3.9
flute,800,800,8 
roastbeef,1089,550,28.9
rejer,397,100,20.3
blåbær,204,240,0.7
håndværker,1200,600,6
leverpostej,1000,275,11 
søde kartofler,360,750,2
broccoli,142,300,2.8
cheasy protein yoghurt,200,400,6.5
kalv,720,1080,24.4
karrysild,1275,750,5.1
kyllingleverpostej,725,218,11
mandler,2423,800,21.2
proteindrik,247,809,24
skyr,233,348,8.6
græsk yoghurt,514,514,4.2
edamame,507,250,11.9
